category,difficulty,question,correctAnswer,incorrect1,incorrect2,incorrect3
The Arts,Hard,Which book contains the character Gulley Jimson?,The Horse's Mouth,The Member of the Wedding,Breakfast at Tiffanys,On the Road
The Arts,Hard,Which author wrote 'Letters From My Windmill'?,Alphonse Daudet,Ivan Turgenev,Oscar Wilde,Leo Tolstoy
The Arts,Hard,Which author wrote 'Doctor Zhivago'?,Boris Pasternak,Leo Tolstoy,Fyodor Dostoevsky,Aleksandr Solzhenitsyn
The Arts,Hard,Which book contains the character Dean Moriarty?,On the Road,The Member of the Wedding,1984,Sherlock Holmes
The Arts,Hard,Who wrote the novels 'Slaughterhouse Five' and 'Breakfast Of Champions'?,Kurt Vonnegut,Ernest Hemingway,Roald Dahl,Virginia Woolf
The Arts,Hard,The painting 'Landscape with the Fall of Icarus' by Pieter Bruegel the Elder is a part of which art movement?,Dutch and Flemish Renaissance,Post-impressionism,Mannerism,Modernism
The Arts,Hard,The painting 'The Arnolfini Marriage' by Jan van Eyck is a part of which art movement?,Northern Renaissance,Art Nouveau,Dutch and Flemish Renaissance,Primitivism
The Arts,Hard,The painting 'Mona Lisa' by Leonardo da Vinci is a part of which art movement?,High Renaissance,Mannerism,Italian Renaissance,Cubism
The Arts,Hard,What is the surname of Cathy in 'Wuthering Heights'?,Earnshaw,Heathcliffe,Darcy,Bingby
The Arts,Hard,Which author wrote the book 'World War Z' which was later turned into a movie?,Max Brooks,George R. R. Martin,Martin Strong,Frank Reynolds
The Arts,Hard,"Who is the author of the novels 'Von Humboldt Fleisher'\, 'Augie March'\, and 'Moses Herzog'?",Saul Bellow,Ernest Hemingway,F. Scott Fitzgerald,William Faulkner
The Arts,Hard,"Which author wrote 'The Descent of Man\, and Selection in Relation to Sex'?",Charles Darwin,Percy Bysshe Shelley,H. Rider Haggard,Robert Louis Stevenson
The Arts,Hard,What Dutch master painted 64 self-portraits?,Rembrandt,Vermeer,Van Gogh,Monet
The Arts,Hard,The painting 'Royal Red and Blue' by Mark Rothko is a part of which art movement?,Washington Color School,Crystal Cubism,Primitivism,Ukiyo-e
The Arts,Hard,Which author wrote 'The Word for World Is Forest'?,Ursula K. Le Guin,Stephen King,Jack Vance,George R. R. Martin
The Arts,Hard,Which author wrote 'Insomnia'?,Stephen King,H. P. Lovecraft,Edgar Allan Poe,Jack Vance
The Arts,Hard,Which book contains the character Mary Katherine Blackwood?,We Have Always Lived in the Castle,The Stranger,To the Lighthouse,Native Son
The Arts,Hard,Which author wrote 'The Lady of the Camellias'?,Alexandre Dumas fils,Victor Hugo,Albert Camus,Gustave Flaubert
The Arts,Hard,Who wrote the novel 'Lady Chatterly\'s Lover'?,DH Lawrence,Samuel Scott,Walter Davis,Jane Austen
The Arts,Hard,Which author wrote 'The Elephant Vanishes'?,Haruki Murakami,Oscar Wilde,Umberto Eco,Søren Kierkegaard
The Arts,Hard,Whose first collection of short stories entitled 'In Our Time' was published in 1925?,Ernest Hemmingway,Joseph Conrad,Anthony Burgess,George Orwell
The Arts,Hard,Which Shakespeare play contains the line 'if music be the food of love play on'?,Twelfth Night,Romeo & Juliette,Hamlet,The Taming of the Shrew
The Arts,Hard,What is the name of the famous Florentine library where many Renaissance texts are kept?,Laurentian Library,Bibliotheque Nationale,Library of Alexandria,Ulpian Library
The Arts,Hard,The painting 'Napoleon Crossing the Alps' by Jacques-Louis David is a part of which art movement?,Neoclassicism,Dutch Golden Age,Crystal Cubism,Primitivism
The Arts,Hard,In which book does Lady Catherine de Bourgh appear?,Pride and Prejudice,The Fault in Our Stars,Ship of Fools,War and Peace
The Arts,Hard,The painting 'The Birth of Venus' by Sandro Botticelli is a part of which art movement?,Renaissance,Realism,High Renaissance,post-impressionism
The Arts,Hard,Which author wrote 'Dombey and Son'?,Charles Dickens,Oscar Wilde,Joseph Conrad,Henryk Sienkiewicz
The Arts,Hard,Now is the winter of our discontent' is a line from which Shakespearian play?,Richard III,Hamlet,Macbeth,Othello
The Arts,Hard,Which author wrote 'Heart of Darkness'?,Joseph Conrad,Charles Dickens,Henryk Sienkiewicz,Oscar Wilde
The Arts,Hard,Which book contains the character Seymour Glass?,Nine Stories,The Metamorphosis,Blood Meridian,Portnoys Complaint
The Arts,Hard,Which book contains the character Sam Spade?,The Maltese Falcon,The Thin Man,Blindness,One Hundred Years of Solitude
The Arts,Hard,Which book contains the character Jim Dixon?,Lucky Jim,Of Mice and Men,Love in the Time of Cholera,In Our Time
The Arts,Hard,Which author wrote 'The Caves of Steel'?,Isaac Asimov,Ursula K. Le Guin,Philip K. Dick,Stephen King
The Arts,Hard,Which book contains the character Sebastian Flyte?,Brideshead Revisited,Breakfast at Tiffanys,The Age of Innocence,An American Tragedy
The Arts,Hard,Which author wrote 'Novelas ejemplares ruth nailibeth'?,Miguel de Cervantes,Oscar Wilde,Victor Hugo,Alphonse Daudet
The Arts,Hard,Which author wrote 'Endgame'?,Samuel Beckett,Oscar Wilde,Nikolai Gogol,Jonathan Swift
The Arts,Hard,Which artist painted 'The Flower Carrier',Diego Rivera,Salvador Dalí,Paul Cézanne,Vincent van Gogh
The Arts,Hard,Which author wrote 'Barsoom'?,Edgar Rice Burroughs,Jack Vance,George R. R. Martin,Robert A. Heinlein
The Arts,Hard,Which artist painted 'Primavera',Sandro Botticelli,Michelangelo,Pablo Picasso,René Magritte
The Arts,Hard,Which author wrote 'Who Do You Think You Are?',Alice Munro,Ivan Turgenev,E. T. A. Hoffmann,Alphonse Daudet
The Arts,Hard,In which book does Thorin appear?,The Hobbit,Alices Adventures in Wonderland,Bluebeard,Jonathan Livingston Seagull
The Arts,Hard,Which author wrote 'Ivanhoe'?,Walter Scott,Oscar Wilde,J. R. R. Tolkien,Alphonse Daudet
The Arts,Hard,Which author wrote 'The Adventure of the Red-Headed League'?,Arthur Conan Doyle,Agatha Christie,Oscar Wilde,George Orwell
The Arts,Hard,Which artist painted 'View of Toledo',El Greco,Edvard Munch,Michelangelo,Raphael
The Arts,Hard,In which book does Jonathan Harker appear?,Dracula,Salems Lot,Carrie,World War Z
The Arts,Hard,What was the sequel to Louisa May Alcott\'s 'Little Women'?,Little Men,Grown Women,Old Women,Out in the Barlows
The Arts,Hard,Which author wrote 'Nightmares & Dreamscapes'?,Stephen King,H. P. Lovecraft,Edgar Allan Poe,Jack Vance
The Arts,Hard,Which author wrote 'The Annotated Little Women'?,Louisa May Alcott,Edgar Allan Poe,Nathaniel Hawthorne,Stephen King
