category,difficulty,question,correctAnswer,incorrect1,incorrect2,incorrect3
The Arts,Medium,"In Harry Potter\, what is the name of the magical sport that is played on broomsticks?",Quidditch,Rumple Grump,Twizzlesticks,Nimbrod
The Arts,Medium,Who wrote 'Animal Farm'?,George Orwell,Aldous Huxley,TS Elliot,Charles Dickens
The Arts,Medium,Which author wrote 'The Hound of the Baskervilles'?,Arthur Conan Doyle,Agatha Christie,Oscar Wilde,George Orwell
The Arts,Medium,What animal is Snowball in George Orwell's book Animal Farm?,A Pig,A Horse,A Snake,A Swan
The Arts,Medium,Which author wrote 'The Count of Monte Cristo'?,Alexandre Dumas,Anatole France,Gustave Flaubert,Charles Perrault
The Arts,Medium,"Which artistic movement of the late eighteenth to mid-nineteenth century focused on emotion over reason\, and on spontaneous expression.",Romanticism,Realism,Nostalgia,Kunboism
The Arts,Medium,Which Shakespeare character urges her husband to kill the king?,Lady Macbeth,Juliet,Ophelia,Cordelia
The Arts,Medium,Who wrote 'Mein Kampf'?,Adolf Hitler,Josef Stalin,Karl Marx,Vlademir Lenin
The Arts,Medium,Which author wrote 'Crime and Punishment'?,Fyodor Dostoyevsky,Vladimir Nabokov,Leo Tolstoy,Mikhail Bulgakov
The Arts,Medium,Which author wrote 'The Godfather'?,Mario Puzo,Edgar Allan Poe,Stephen King,Dan Brown
The Arts,Medium,In which book series does 'Sirius Black' appear?,Harry Potter,Sherlock Holmes,The Dark Tower,Twilight
The Arts,Medium,Which author wrote 'A Dance with Dragons'?,George R. R. Martin,Stephen King,Jack Vance,Edgar Rice Burroughs
The Arts,Medium,Who wrote 'The Count of Monte-Christo'?,Alexandre Dumas,Victor Hugo,Jean Paul Sartre,Albert Camus
The Arts,Medium,Which piece of written work starts with the line 'You don’t know about me without you have read a book by the name of The Adventures of Tom Sawyer; but that ain't no matter.'?,Adventures of Huckleberry Finn,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,A Connecticut Yankee in King Arthurs Court
The Arts,Medium,In which book series does Cedric Diggory appear?,Harry Potter,Voyages Extraordinaires,Percy Jackson & the Olympians,Twilight
The Arts,Medium,"Which famous artist went unnoticed during his life\, and commited suicide aged 37 in 1890?",Vincent van Gogh,Pablo Picasso,Salvador Dali,Claude Monet
The Arts,Medium,What is the number missing from the Khaled Hosseini book title: 'A ___ Splendid Suns'?,Thousand,Hundred,Million,Few
The Arts,Medium,What was the first name of the Spanish modernist and cubist painter Picasso?,Pablo,Gavroche,Didi,Pedro
The Arts,Medium,How many holes are there on a traditional paint pallette?,1,0,2,3
The Arts,Medium,Which artist painted 'The Scream',‎‎Edvard Munch,James Abbott McNeill Whistler,Henri Matisse,Jean-François Millet
The Arts,Medium,Which author wrote 'Alice's Adventures in Wonderland'?,Lewis Carroll,Enid Blyton,George Orwell,Charles Dickens
The Arts,Medium,In which book does 'The Hatter' appear?,Through the Looking-Glass,Mio,My Son,Jonathan Strange & Mr Norrell
The Arts,Medium,Which Italian artist shocked 1485 Florence with his large nude painting of the birth of a goddess?,Botticelli,Michelangelo,Leonardo da Vinci,Raphael
The Arts,Medium,Which author wrote 'Treasure Island'?,Robert Louis Stevenson,Oscar Wilde,Agatha Christie,Joseph Conrad
The Arts,Medium,Which author wrote 'Julius Caesar'?,William Shakespeare,Arthur C. Clarke,Isaac Newton,Enid Blyton
The Arts,Medium,In which book series does Horace Slughorn appear?,Harry Potter,Twilight,His Dark Materials,Red Rising
The Arts,Medium,Which author wrote 'The Return of the King'?,J. R. R. Tolkien,G. K. Chesterton,Philip Pullman,C. S. Lewis
The Arts,Medium,"In Michelangelo\'s scenes on the Sistine Chapel ceiling\, which pair is depicted in the panel titled 'Temptation and Expulsion'?",Adam & Eve,Cain & Abel,Noah & the Great Flood,Joseph & Potiphars wife
The Arts,Medium,"In Harry Potter\, what is the name of the wizarding school that Harry attends?",Hogwarts School of Witchcraft and Wizardry,Ilvermorny School of Witchcraft and Wizardry,Durmstrang Institute of Magic,Beauxbatons Academy of Magic
The Arts,Medium,Who wrote the 'Discworld' series?,Terry Pratchett,George R R Martin,Ursula Le Guin,Stephen King
The Arts,Medium,In the Charles Dickens novel 'A Chrismas Carol' who was Scrooge's dead business artner? ,Jacob Marley,Archie Scorn,Marius Topman,Ronald Leerden
The Arts,Medium,"Which author wrote 'I\, Robot'?",Isaac Asimov,Ursula K. Le Guin,Philip K. Dick,Stephen King
The Arts,Medium,Which author wrote 'The Ugly Duckling'?,Hans Christian Andersen,Beatrix Potter,Søren Kierkegaard,Oscar Wilde
The Arts,Medium,Which Shakespeare play opens with the 3 Witches?,Macbeth,Hamlet,Othello,Romeo & Juliette
The Arts,Medium,"Which author wrote 'The Lion\, the Witch\, and the Wardrobe'?",C. S. Lewis,Neil Gaiman,Jack Vance,Douglas Adams
The Arts,Medium,In which book series does Edward Cullen appear?,Twilight,Harry Potter,The Hunger Games,The Chronicles of Narnia
The Arts,Medium,What type of position does Hamlet hold in the Shakespeare play?,Prince,King,Wizard,Monk
The Arts,Medium,Which artistic style of the late eighteenth and early nineteenth centuries revived the order and harmony of ancient Greek and Roman art?,Neoclassicism,Romanticism,Fauvism,Impressionism
The Arts,Medium,Which author wrote 'Gulliver's Travels'?,Jonathan Swift,Søren Kierkegaard,Oscar Wilde,Mikhail Bulgakov
The Arts,Medium,"Which actor played the role of President Josiah Bartlet on ""The West Wing""?",Martin Sheen,Harrison Ford,Tom Hanks,Robert De Niro
The Arts,Medium,Which author wrote 'Foundation series'?,Isaac Asimov,Ursula K. Le Guin,Philip K. Dick,Stephen King
The Arts,Medium,Which artistic movement employed an analytic vision based on fragmentation and multiple viewpoints?,Cubism,Art Deco,Impressionism,Dadaism
The Arts,Medium,"In 'A Christmas Carol'\, what is Tiny Tim's surname",Cratchett,Poorboy,Thompson,Squalor
The Arts,Medium,Which author wrote 'Salem's Lot'?,Stephen King,H. P. Lovecraft,Edgar Allan Poe,Jack Vance
The Arts,Medium,Which author wrote 'The Stranger'?,Albert Camus,François-René de Chateaubriand,Anatole France,Guy de Maupassant
The Arts,Medium,Who wrote the book 'The Shining' on which the 1980 Stanley Kubrick film was based?,Stephen King,George Orwell,John Steinbeck,Tom Clancy
The Arts,Medium,Which author wrote 'Lolita (2010 Penguin Classics ed.)'?,Vladimir Nabokov,Ayn Rand,Kurt Vonnegut,Mikhail Bulgakov
The Arts,Medium,Which author wrote 'The Raven'?,Edgar Allan Poe,Stephen King,Nathaniel Hawthorne,Mario Puzo
The Arts,Medium,Who wrote three books under the title 'Das Kapital'?,Karl Marx,Jean Paul Sartre,Immanuel Kant,Jean-Jacques Rousseau
The Arts,Medium,Which actor played the role of Charles Foster Kane in Citizen Kane?,Orson Welles,John Travolta,Bruce Willis,Robert De Niro
The Arts,Medium,Which 1989 film features Kevin Costner building a baseball diamond on his corn farm?,Field of Dreams,Bull Durham,The Natural,Moneyball
The Arts,Medium,Which actor played the role of Luke Skywalker in Star Wars?,Mark Hamill,Ewan McGregor,Harrison Ford,James Earl Jones
The Arts,Medium,Which of these quotes is from the film 'Airplane!'?,I am serious...and don't call me Shirley.,Greed for lack of a better word is good.,Did a Bus Park on Your Face?,And you will not call me 'you'
The Arts,Medium,"In Star Wars\, what is the name of the Empire's planet-destroying superweapon?",Death Star,Star Destroyer,Lightsaber,TIE Fighter
The Arts,Medium,Name the movie that matches the following plot summary: 'An insurance salesman discovers his whole life is actually a reality TV show.',The Truman Show,Indiana Jones and the Last Crusade,The Matrix,The Batman
The Arts,Medium,Which actor has acted in both Arrested Development and DodgeBall: A True Underdog Story?,Jason Bateman,Javier Bardem,Colin Firth,Tim Roth
The Arts,Medium,Which film contains the character Alex DeLarge?,A Clockwork Orange,The Public Enemy,The Adventures of Robin Hood,Rain Man
The Arts,Medium,Which actress has starred in films including Roman Holiday and Breakfast at Tiffany's?,Audrey Hepburn,Bette Davis,Catherine Deneuve,Selena Gomez
The Arts,Medium,Which of these quotes is from the film 'Mean Girls'?,That is so fetch.,Round up the usual suspects.,Of all the gin joints in all the towns in all the world she walks into mine.,A-ca-scuse me?
The Arts,Medium,The character of Mike Myers features heavily in which series of horror movies?,Halloween,A Nightmare on Elm Street,Scream,Childs Play
The Arts,Medium,Name the movie that matches the following plot summary: 'An insurance representative lets a housewife seduce him into a scheme of insurance fraud and murder.',Double Indemnity,Casino,Dune,The Great Escape
The Arts,Medium,Which director directed 'Inglourious Basterds'?,Quentin Tarantino,Steven Spielberg,Woody Allen,Martin Scorsese
The Arts,Medium,Which of these quotes is from the film 'Apollo 13'?,"Houston\, we have a problem.",To infinity and beyond!,"It's not a simple life\, being an astronaut","You do your job\, you get me home!"
